customer_unique_id,RecencyDays,Frequency,MonetaryValue,CustomerSegment
0000366f3b9a7992bf8c76cfdf3221e2,115,1,129.9,Regular Customers
0000b849f77a49e4a4ce2b2a4ca5be3f,118,1,18.9,Regular Customers
0000f46a3911fa3c0805444483337064,541,1,69.0,At Risk
0000f6ccb0745a6a4b88665a16c9f078,325,1,25.99,At Risk
0004aac84e0df4da2b147fca70cf8255,292,1,180.0,At Risk
0004bd2a26a76fe21f786e4fbd80607f,150,1,154.0,Regular Customers
00050ab1314c0e55a6ca13cf7181fecf,135,1,27.99,Regular Customers
00053a61a98854899e70ed204dd4bafe,186,1,382.0,At Risk
0005e1862207bf6ccc02e4228effd9a0,547,1,135.0,At Risk
0005ef4cd20d2893f0d9fbd94d3c0d97,174,1,104.9,Regular Customers
0006fdc98a402fceb4eb0ee528f6a8d4,411,1,13.9,At Risk
00082cbe03e478190aadbea78542e933,287,1,79.0,At Risk
00090324bbad0e9342388303bb71ba0a,162,1,49.95,Regular Customers
000949456b182f53c18b68d6babc79c1,132,1,64.89,Regular Customers
000a5ad9c4601d2bbdd9ed765d5213b3,387,1,76.99,At Risk
000bfa1d2f1a41876493be685390d6d3,338,1,35.0,At Risk
000c8bdb58a29e7115cfc257230fb21b,264,1,13.9,At Risk
000d460961d6dbfa3ec6c9f5805769e1,238,1,28.9,At Risk
000de6019bb59f34c099a907c151d855,381,1,229.8,At Risk
000e309254ab1fc5ba99dd469d36bdb4,69,1,59.9,Regular Customers
000ec5bff359e1c0ad76a81a45cb598f,12,1,14.96,Regular Customers
000ed48ceeb6f4bf8ad021a10a3c7b43,105,1,12.88,Regular Customers
000fbf0473c10fc1ab6f8d2d286ce20c,38,1,285.8,Regular Customers
0010a452c6d13139e50b57f19f52e04e,418,1,299.0,At Risk
0010fb34b966d44409382af9e8fd5b77,181,1,49.95,At Risk
001147e649a7b1afd577e873841632dd,367,1,170.0,At Risk
00115fc7123b5310cf6d3a3aa932699e,589,1,59.99,At Risk
0011805441c0d1b68b48002f1d005526,496,1,269.0,At Risk
0011857aff0e5871ce5eb429f21cdaf5,431,1,174.33,At Risk
0011c98589159d6149979563c504cb21,393,1,99.99,At Risk
0012929d977a8d7280bb277c1e5f589d,320,1,129.9,At Risk
0014a5a58da615f7b01a4f5e194bf5ea,227,1,88.0,At Risk
0015752e079902b12cd00b9b7596276b,31,1,59.8,Regular Customers
00172711b30d52eea8b313a7f2cced02,37,1,74.5,Regular Customers
00191a9719ef48ebb5860b130347bf33,501,1,47.9,At Risk
001926cef41060fae572e2e7b30bd2a4,381,1,48.79,At Risk
001928b561575b2821c92254a2327d06,9,1,136.89,Regular Customers
00196c4c9a3af7dd2ad10eade69c926f,36,1,22.32,Regular Customers
00196fdb2bf9edfc35e88ebfbcf8d781,192,1,12.9,At Risk
0019da6aa6bcb27cc32f1249bd12da05,204,1,79.9,At Risk
0019e8c501c85848ac0966d45226fa1d,124,1,159.99,Regular Customers
001a2bf0e46c684031af91fb2bce149d,430,1,24.88,At Risk
001a34eb30ecb8e3aacb07c475ca4dd1,53,1,151.9,Regular Customers
001a3a8e11d76c9a366c31a4aa2cc529,105,1,9.0,Regular Customers
001ae44fa04911a9e9577356dce6c63c,300,1,99.9,At Risk
001ae5a1788703d64536c30362503e49,268,1,89.99,At Risk
001deb796b28a3a128d6113857569aa4,72,1,39.9,Regular Customers
001f3c4211216384d5fe59b041ce1461,532,1,24.88,At Risk
002043098f10ba39a4600b6c52fbfe3c,525,1,176.99,At Risk
002311514717ca8b65b09a26cdf7b91a,67,1,116.25,Regular Customers
0023557a94bef0038066b5d1b3dc763e,158,1,89.9,Regular Customers
002471155ecd08d208d1376720e2a907,25,1,68.9,Regular Customers
00256bf7b05c08f6a5849df3d0a64f1f,93,1,39.5,Regular Customers
0025795df7a7d077c4c90162fa820085,40,1,177.9,Regular Customers
0027324a96d26a2bc7d69262f83c8403,161,1,37.9,Regular Customers
0028a7d8db7b0247652509358ad8d755,263,1,274.0,At Risk
0028cfeb9dfcd3628a56d5b6400deef5,239,1,95.9,At Risk
00293787e2aec37a9c253b63fdfe2049,310,1,237.8,At Risk
0029bd580d3012618731f5abb174a07f,304,1,39.9,At Risk
002aba8c1af80acacef6e011f9f23262,187,1,199.9,At Risk
002ae492472e45ad6ebeb7a625409392,329,1,103.98,At Risk
002b4cd83fabaffaa475f78ea5ef3e08,578,1,49.9,At Risk
002bdeb33da5b1b3ce8b9c822f749c82,271,1,23.99,At Risk
002cdf87d4c03f08f7eb4551a923affc,306,1,196.99,At Risk
002d3bd901608f67c3fc11eaaa842b13,230,1,19.49,At Risk
002d71b244beb91ca7030b15ab526446,468,1,115.0,At Risk
002da6dde369f6a8b4c999ed61eb5a87,143,1,44.99,Regular Customers
002eb8b96288f3804e21d2777ac29895,407,1,119.9,At Risk
002ed12115742033f015cb3c269ccf68,215,1,97.9,At Risk
002ef00822613c94613e60e03b169fef,200,1,92.9,At Risk
002feefec5af0a3b26ee7839c66d205e,308,1,59.9,At Risk
003035f5ec76f2220098377482de93c9,370,1,49.99,At Risk
003162bf0351f47a1a247992b8b9b42d,50,1,514.9,Regular Customers
00324c9f4d710e7bac5c5ba679714430,438,1,29.9,At Risk
0032c76b20340da25249092a268ce66c,696,1,128.9,At Risk
0032ca69771a7758ce643258bb9e4ac7,48,1,45.0,Regular Customers
0033f4a2887e07e25aa1204d482f41ba,69,1,350.0,Regular Customers
00344274804f3b8003de1b0562ae01df,55,1,188.0,Regular Customers
0034c76b7e6a17d738375b99afc2f01e,118,1,26.0,Regular Customers
0035029989e6fc5cf030918a5f9f2037,113,1,438.0,Regular Customers
003650b504826ea534e02eba0ab58dd5,228,1,13.99,At Risk
0036a074f98b80c4f1fc33dbbcf9c552,478,1,16.99,At Risk
0036b4a3d09ad551a5188c2e374da402,389,1,148.0,At Risk
0036d365b138cc0ee06bed755bcb5044,214,1,79.9,At Risk
00370dfde3d012c420d29657afc2fc8b,216,1,215.0,At Risk
00377a18050b898b93e2c774be9947db,281,1,49.99,At Risk
0037aa56b017c105c3a9d47af71fff98,219,1,425.0,At Risk
0037d2bbb9ebc39d9114aea27ee16d72,524,1,119.9,At Risk
0037eb1ff742ee2e71ba887f65f3c6f3,417,1,199.0,At Risk
003800162424b7b5b3d75c9cf22a66e7,154,1,85.5,Regular Customers
00391594070baf8603f5fdc1d0c6a48c,28,1,105.0,Regular Customers
003a5571a07dcf09bf117d13d2980ba3,39,1,149.9,Regular Customers
003a7a8eb096ed3cbf713d2def1ca701,19,1,99.99,Regular Customers
003ac9408252444b489b1bfc013f5f8c,170,1,18.75,Regular Customers
003ae409f37c3c30cb1c974af3a42692,18,1,195.0,Regular Customers
003c2067070f5b3d923235b1ea1cc17b,27,1,109.7,Regular Customers
003c457932a554e4df13834237b1ed00,240,1,129.9,At Risk
003d56767e53e08671de00da3fba8d40,275,1,157.0,At Risk
003db7adfcdc49857b095a50191b6c9d,123,1,524.9,Regular Customers
003e28cb6fab8a0901bff9229612375f,538,1,119.99,At Risk
003e2af81ea3c72fbdd093f07724a4de,139,1,48.0,Regular Customers
003f4901fdb60ae9c1e2538b84c208e1,287,1,148.0,At Risk
003fb95e849e71e732629d94bb92762f,34,1,57.99,Regular Customers
003fee4ca17927283128c7ddc6f9311b,117,1,85.0,Regular Customers
004177f7bf62929186b32c7fdaa6157b,318,1,393.98,At Risk
004256f082951ec189a4962b6788c214,163,1,245.0,Regular Customers
004288347e5e88a27ded2bb23747066c,232,2,317.89,Regular Customers
0042dcca0ae57aaec6e808edc31a2d48,274,1,69.8,At Risk
0042dfa8925d6eb23e471ec350454f04,39,1,49.9,Regular Customers
0043d65f8039b4a4d43bc7b0f450ac2c,500,1,49.9,At Risk
00444f48f6c9b55657e49435ce3a97ca,450,1,39.9,At Risk
00446a03d7a34d191507c9e42870d0a5,545,1,109.9,At Risk
004493e0b0a37317d25665d340c0677d,88,1,64.99,Regular Customers
0045e9ad4d6c85d2323a7ab374b76183,75,1,5.9,Regular Customers
0046311f458d8041b00063cb99482903,397,1,95.9,At Risk
0047f3e16441284d757a8963344f6c59,370,1,60.0,At Risk
0048706e497cfba0b689e1e3497bc99e,18,1,69.5,Regular Customers
0048a779a98a7848514096ff04046079,25,1,21.7,Regular Customers
0049a16516d38fc2246696172a257f16,247,1,24.99,At Risk
0049dadc30da6a277c1e9d371df5a66f,446,1,9.9,At Risk
0049db44bfd6cee26ac9c649329ff6ea,544,1,80.0,At Risk
0049ec2d7a5818d0e4b3f4735cec2458,46,1,25.9,Regular Customers
004a432489f6630c6dfd3fc4454603f5,260,1,69.77,At Risk
004b45ec5c64187465168251cd1c9c2f,99,2,86.9,Regular Customers
004b9b1634b7becda8eec4e96bced882,28,1,134.99,Regular Customers
004d17fa2cb102a7c4817f040c884e59,202,1,32.0,At Risk
004df63539fd5e38d4b0a0506de7549c,48,1,949.99,Regular Customers
004ed862ea4e55f18868d3d782d10879,392,1,94.9,At Risk
004f84d065096f3cedd26cf0adc80b9d,130,1,159.98,Regular Customers
00504b68faa074d0f40adcb4f7727f71,22,1,152.0,Regular Customers
0050dcff37f8b9ff611d245e30572b46,124,1,49.99,Regular Customers
00522457bba00bba576a34fd9b4808fd,519,1,103.97,At Risk
005226be8d5b972d0f72b4e8a79f322b,154,1,1561.0,Regular Customers
00539155ce68fbe677934aebdb17e09b,126,1,48.99,Regular Customers
00543330561a9088f8b3879114a7b008,282,1,56.0,At Risk
0055b522bc89cbfbf376d8b59a628470,548,1,328.0,At Risk
0055bbb9c95f6acb8db89d1f6c316407,200,1,68.0,At Risk
0056c2dd794a5eede6164dcae635875a,25,1,129.99,Regular Customers
0056f26cb8f20916c3baa0e39fc30709,155,1,92.9,Regular Customers
005754cb59f8ee5cdbb5cda9d138757e,43,1,220.64,Regular Customers
00575b2023dedcc0f3e81a938834689b,302,1,19.9,At Risk
0057f64bff87f4698b4cbd338d62a2a8,12,1,75.07,Regular Customers
0058e7db269cc11558913b42beb115d0,107,1,70.0,Regular Customers
0058f300f57d7b93c477a131a59b36c3,164,2,132.48,Regular Customers
0059acd36094bf670ec8b21be6c0044c,447,1,29.9,At Risk
005d8faa4cf789cf52fb880a8569880a,114,1,79.99,Regular Customers
005e32bc930906dc6b65fb9d11cce3e2,364,1,32.0,At Risk
005ee3e015ec18092d7782e507cf68fe,336,1,159.99,At Risk
005f060d4223956c62b64e9567a36f0f,103,1,689.0,Regular Customers
005f4b46e70bbd3295a38e2fd28d6566,304,1,49.8,At Risk
005f6fa02633470267dcd1e3ecd0fa79,37,1,199.99,Regular Customers
005ff4ebe100db3eebbe6f7b19a8f99a,354,1,199.9,At Risk
006031108b00e5f73b2426a50b50f9c0,364,1,189.9,At Risk
00605a8897ed9ad73b5c93bebad2541a,161,1,12.9,Regular Customers
00626f29f9b57d3ef7c1739ff03e944e,144,1,129.0,Regular Customers
0062adafa3846d9f372d8f1bde591b24,190,1,135.9,At Risk
0063817060d662048ed08bccecaf45d5,233,1,37.8,At Risk
0064a1b5f5cddd047c987b988a90c8c1,185,1,215.6,At Risk
0064c96f536ac6250275482221834154,74,1,52.66,Regular Customers
00651d97d964127ccfc0e2e55464876d,188,1,15.0,At Risk
0065f6fb341f013a95a8e11cdc98d07a,328,1,89.9,At Risk
0065f7795a38381973a373c8b4939679,57,1,15.99,Regular Customers
0066b328e72fd82fd7420bf849c0e8b4,363,1,84.94,At Risk
0067d2652c12515146721538868bbd80,75,1,169.9,Regular Customers
0068bd2e9e76c018846dbc6e2bec5ac5,68,1,59.9,Regular Customers
006a8c1784d622ebe06bab57e72ee045,281,1,49.0,At Risk
006ab6f5e82340e927757563a9fbe7e4,274,1,267.2,At Risk
006b297ed73773b17d8874a2eb4466e8,146,1,89.9,Regular Customers
006bbb235068a01d2e3e47fa09ccf53c,199,1,19.9,At Risk
006c10bfead12ac8d90486fb4ce4e603,80,1,67.99,Regular Customers
006d763076d74d16d66e828e79ec1544,393,1,79.9,At Risk
006e937bd5a5e32043018a6d1521b5d5,266,1,189.9,At Risk
006ec5b170182812131c7d9b219c036f,321,1,44.98,At Risk
006f2f20cf0cd723624b99d0e8e40d0c,204,1,29.99,At Risk
00704e915ae0d4a236eace0267454cf9,398,1,108.9,At Risk
00705dcbc0b9cad67abd658612770905,23,1,39.49,Regular Customers
00720f160ff500d3605a1bf403eb62d9,107,1,104.9,Regular Customers
00728bae3dec9c16b2193ab7e3195eb7,231,1,194.9,At Risk
00737247e3dc1942da2c527ef3bd2709,162,1,59.9,Regular Customers
0074a1d3f1995ff0538dc7197500973c,115,1,599.0,Regular Customers
00762eafc5dac5fc1574f91e9b7c9b67,207,1,219.0,At Risk
007658319c060f337577e8a1834d5df5,60,1,75.0,Regular Customers
00765d375af0e700f61c57db00a8ee63,388,1,200.0,At Risk
0076a71311bb2386a353f5ba87d2aa29,401,1,44.9,At Risk
00776f3807b128beca64cd0b27138d92,346,1,294.99,At Risk
0077ba3f829303a1dce98552495c91a1,75,1,139.99,Regular Customers
0077dc76aaf02323f03bce9b00878253,175,1,849.5,Regular Customers
0078108af1d2dc4b1601c744ca581b4f,118,1,53.9,Regular Customers
